grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
53_-61,53,-61,1,0,0,0,0.0,0.0,200.0,0.0,January,January:1,,-0.33,0.0,Newfoundland And Labrador, Newfoundland
53_-72,53,-72,2,2,2,2,200000.0,80.0,0.0,3.5,June,June:1;December:1,,4.16,70.28,Quebec," Quebec provinces, Quebec"
53_123,53,123,1,1,1,1,1600000.0,5.0,0.0,6.0,January,January:1,,4.21,71.15,Heilongjiang, Mohe area 
53_23,53,23,1,1,1,1,0.0,21.0,0.0,2.0,January,January:1,,0.11,6.86,Podlaskie, Podlaskie
53_24,53,24,1,0,1,1,0.0,5.0,0.0,27.0,February,February:1,,-0.07,3.98,Hrodna, Volkovysk districts 
53_33,53,33,1,0,0,1,0.0,0.0,0.0,0.0,May,May:1,,-0.33,0.0,Bryansk,North Caucasus region
53_7,53,7,1,0,0,1,0.0,2.0,0.0,1.0,November,November:1,,-0.17,2.44,Drenthe,Drenthe
54_18,54,18,1,0,0,1,0.0,270.0,0.0,102.0,October,October:1,,0.47,12.43,Pomorskie, Pomorskie
54_21,54,21,2,2,2,2,0.0,103.0,0.0,14.5,January,January:1;March:1,,0.53,13.44,Warminsko-Mazurskie," Warminsko-Mazurskie,  Warminsko-Mazurskie provinces"
54_28,54,28,1,0,0,1,0.0,0.0,0.0,32.0,December,December:1,,-0.33,0.0,Minsk,Minsk province
54_30,54,30,1,1,1,1,0.0,2.0,31500.0,11.0,January,January:1,,-0.17,2.44,Mahilyow, Mogilev provinces
55_-2,55,-2,1,0,0,1,0.0,0.0,0.0,32.0,December,December:1,,-0.33,0.0,England, Northumberland
55_24,55,24,1,0,0,1,0.0,20.0,0.0,27.0,December,December:1,,0.11,6.76,Kauno, Kauno
55_25,55,25,1,0,1,1,0.0,3.0,0.0,14.0,December,December:1,,-0.13,3.08,Vilniaus, Vilniaus provinces
55_69,55,69,1,0,1,1,0.0,0.0,5000.0,41.0,December,December:1,,-0.33,0.0,North Kazakhstan, Petropavlovsk city 
56_-4,56,-4,1,0,1,1,0.0,2.0,0.0,1.0,December,December:1,,-0.17,2.44,Scotland, Lothian
56_102,56,102,1,0,0,1,100.0,145.0,6120.0,58.0,January,January:1,,1.76,32.76,Irkutsk,Bratsk
56_15,56,15,1,0,0,1,0.0,0.0,0.0,32.0,December,December:1,,-0.33,0.0,Blekinge,Blekinge Laen
56_22,56,22,1,0,1,1,0.0,0.0,0.0,1.0,November,November:1,,-0.33,0.0,Klaipedos, Klaipedos
56_23,56,23,1,0,1,1,0.0,5.0,0.0,27.0,February,February:1,,-0.07,3.98,Siauliai, iauliu
56_38,56,38,13,0,3,8,400000.0,56997.0,26022.0,20.38,December,February:1;June:2;July:1;October:2;November:3;December:4,0.1114,6.05,100.0,Moskva," Moskovskaya Oblast,  Moskovskaya Oblast provinces, Moscou, Moscow, Moskva, Moskva province"
57_24,57,24,2,0,0,2,0.0,36.0,0.0,27.0,January,January:1;October:1,,0.39,11.15,Riga,Rigas province
57_25,57,25,2,0,1,2,0.0,5.0,0.0,29.5,February,February:1;December:1,,0.13,7.11,Riga," Ogres, Aizkraukles"
58_-5,58,-5,1,0,1,1,0.0,0.0,0.0,1.0,November,November:1,,-0.33,0.0,Scotland,Highland district 
58_26,58,26,1,0,1,1,0.0,5.0,0.0,27.0,February,February:1,,-0.07,3.98,Viljandi, Viljandi maakond
58_27,58,27,1,0,0,1,0.0,0.0,0.0,32.0,December,December:1,,-0.33,0.0,Voru, Võru maakond provinces
60_30,60,30,2,0,1,2,0.0,335.0,174.0,27.0,January,January:1;October:1,,0.7,16.04,City Of St. Petersburg," Sankt-peterburg, Sankt-peterburg"
63_154,63,154,1,0,0,1,0.0,0.0,725000.0,27.0,January,January:1,,-0.33,0.0,Maga Buryatdan, Magadam
66_130,66,130,1,0,1,1,0.0,5.0,0.0,27.0,February,February:1,,-0.07,3.98,Sakha, Sakha Rep. provinces
