grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
39_-8,39,-8,2,2,2,2,0.0,2.0,3967.0,1.5,January,January:1;December:1,,-0.35,10.25,Santarem,"Abrantes, SantarÃÂÃÂ©m"
39_-81,39,-81,3,2,2,2,2900000.0,45.0,2612.0,10.67,February,February:1;June:1;July:1,0.0,0.52,40.3,West Virginia," West Virginia, Greenbier district "
39_117,39,117,1,1,1,1,0.0,4.0,3000.0,3.0,November,November:1,,-0.39,9.15,Tianjin, Tianjin Shi provinces
39_126,39,126,1,0,0,1,638000.0,9.0,0.0,0.0,September,September:1,,0.04,23.59,Hwanghae-Bukto,North
39_127,39,127,3,0,1,3,6000500.0,108.0,679042.0,4.0,August,August:3,0.0,0.69,45.77,Kangwon-Do,"Kangwon province, Kangwon-Do"
39_42,39,42,1,0,0,0,0.0,1.0,3.0,0.0,December,December:1,,-0.54,3.94,Bitlis,Bitlis
3_102,3,102,2,0,0,2,0.0,3.0,40155.0,0.0,March,March:1;November:1,,-0.31,11.88,Kuala Lumpur,"Jalan Semarak, Kuala Lumpur"
40_-104,40,-104,2,0,0,2,0.0,0.0,122.0,0.0,June,June:1,,-0.54,4.0,Colorado,"Adams, Watkins"
40_-105,40,-105,7,3,4,5,5545000.0,22.0,0.0,1.29,March,March:2;May:1;July:1;August:2;October:1,0.0,0.62,43.7,Colorado,"Boulder, Denver, Rockies"
40_-74,40,-74,1,1,1,1,1456000.0,64.0,71393.0,1.0,September,September:1,,0.37,34.89,New Jersey,Ocean
40_-75,40,-75,1,1,1,1,600000.0,3.0,14070.0,5.0,September,September:1,,-0.12,18.33,New Jersey, New Jersey
40_-79,40,-79,1,0,0,1,2200000.0,10.0,100.0,6.0,April,April:1,,0.08,25.11,Pennsylvania,Allegany
40_-83,40,-83,5,2,2,4,2700000.0,33.0,8000.0,3.2,February,February:1;March:1;July:1;September:1;December:1,0.4074,0.59,42.52,Ohio," Ohio,  Ohio provinces, Ohio"
40_-85,40,-85,1,1,1,1,260000.0,0.0,8.0,1.0,November,November:1,,-0.37,9.79,Indiana, Jay
40_-86,40,-86,4,0,0,1,1000000.0,53.0,750.0,0.5,January,January:1;March:1;May:1;July:1,0.0,0.59,42.57,Indiana,Indiana
40_-89,40,-89,35,4,9,18,15765500.0,645.0,10756.0,2.63,April,January:5;February:1;March:2;April:6;May:5;June:6;July:2;August:2;October:1;November:4;December:1,-0.0726,1.64,78.32,Illinois," Illinois, Illinois"
40_-9,40,-9,1,1,1,1,115500.0,2.0,88.0,2.0,October,October:1,,-0.2,15.4,Leiria, Leiria dsitricts
40_-91,40,-91,1,0,0,0,0.0,0.0,0.0,0.0,October,October:1,,-0.65,0.0,Texas,Brownwood
40_0,40,0,1,0,0,1,72000.0,10.0,0.0,0.0,November,November:1,,0.0,22.42,Comunidad Valenciana,Castellon
40_116,40,116,7,1,2,5,456480.0,275.0,129404.0,0.29,July,May:2;July:4;August:1,0.0,0.98,55.87,Hebei," Hebei, Beijing, Hebei, Hebei province, Qinghe, Shijiazhuang, Xinghua"
40_140,40,140,2,1,1,2,823000.0,33.0,1600.0,1.5,February,February:1;September:1,,0.36,34.75,Akita,Akita
40_141,40,141,1,1,1,1,0.0,22.0,0.0,0.0,September,September:1,,-0.13,17.83,Iwate,Iwate
40_33,40,33,2,0,0,2,0.0,13.0,915.0,0.0,June,June:1;December:1,,-0.1,19.01,Ankara,"Ankara, Sunlu"
