grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
37_3,37,3,1,1,1,1,0.0,6.0,420.0,August,August:1,,-0.24,8.87,Alger,Alger
37_30,37,30,1,0,0,0,0.0,57.0,0.0,May,May:1,,0.05,18.51,Burdur,Burdur
37_31,37,31,1,0,0,0,0.0,24.0,20200.0,September,September:1,,-0.07,14.68,Antalya,North Anatolia
37_36,37,36,2,0,0,2,550000.0,145.0,1590080.0,June,June:2,,0.72,40.72,Adana,"Ceyhan, Osmaniye province"
37_4,37,4,4,0,0,4,5000000.0,2275.0,210776.0,May,January:1;May:2;December:1,,1.41,63.47,Boumerdes,"Bordj Menaiel, Boumerdes, Boumerdes region, Zemmouri"
37_44,37,44,1,0,0,1,0.0,2.0,422.0,January,January:1,,-0.36,5.01,Hakkari,Hakkari
37_48,37,48,1,0,0,0,5000.0,3.0,416.0,July,July:1,,-0.1,13.66,Zanjan,Zanjan
37_5,37,5,1,0,0,1,0.0,4.0,319.0,March,March:1,,-0.29,7.34,Bejaia,Laalam
37_54,37,54,1,0,0,1,0.0,0.0,110.0,January,January:1,,-0.51,0.0,Golestan,Gorgan county
37_55,37,55,1,0,0,1,0.0,0.0,250.0,November,November:1,,-0.51,0.0,Golestan,Ali-Abad
37_57,37,57,1,1,1,1,600000.0,37.0,4350.0,April,April:1,,0.34,28.05,North Khorasan,Baghan
37_58,37,58,2,1,1,1,32000.0,103.0,86762.0,February,February:1;May:1,,0.6,36.72,North Khorasan,"Bojnord, Bojnurd"
37_65,37,65,1,0,0,1,0.0,1.0,1001.0,April,April:1,,-0.42,3.16,Faryab,Yaka Bagh
37_66,37,66,1,0,0,1,0.0,0.0,0.0,February,February:1,,-0.51,0.0,Badakhshan,Fayzabad region
37_67,37,67,1,0,0,0,0.0,160.0,100330.0,May,May:1,,0.19,23.17,Balkh,Balkh
37_69,37,69,2,0,0,2,0.0,2.0,1870.0,July,July:2,,-0.16,11.62,Khatlon,"Imam Sahib, Panj"
37_70,37,70,1,0,0,1,10000.0,2323.0,32818.0,February,February:1,,0.8,43.28,Takhar,Rustaq
37_71,37,71,6,2,2,3,13000.0,4981.0,251570.0,December,January:1;April:1;May:1;October:1;December:2,0.2245,1.53,67.4,Badakhshan,"Badakhshan, Badakhshan province, Badakhstan, Eshkmesh district, Faizabad, North-East"
38_-1,38,-1,2,0,1,2,244004.0,10.0,15320.0,February,February:1;May:1,,0.34,28.23,Region De Murcia,"Lorca, Mula"
38_-122,38,-122,1,0,0,0,0.0,0.0,120.0,March,March:1,,-0.51,0.0,California,Alamo
38_-25,38,-25,1,0,0,1,72000.0,10.0,1100.0,July,July:1,,0.11,20.57,Azores,Faial and Pico Isl.
38_-85,38,-85,1,0,0,0,0.0,0.0,0.0,Unknown,NA,,-0.51,0.0,Kentucky,Kentucky
38_101,38,101,6,0,0,4,204000.0,33.0,407829.0,April,April:1;June:1;July:1;September:1;October:1;December:1,0.0,0.91,47.03,Gansu,"Baiju, Gansu Sheng, Ganzu, Minle Xian, Yumen Shi"
