grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
1_128,1,128,2,0,0,1,0.0,0.0,12258.0,0.0,June,June:1;July:1,,0.2,2.89,Maluku Utara,"Halmahera Island, South Ibu sub-district "
20_-156,20,-156,1,1,1,1,500000.0,0.0,2500.0,27.0,May,May:1,,3.94,56.79,Hawaii,Hawaï
21_-104,21,-104,2,0,0,1,0.0,0.0,1350.0,13.5,February,February:1;July:1,,0.2,2.89,Jalisco,"Jalisco, Jalisco State"
2_-78,2,-78,1,0,0,0,0.0,10.0,6.0,0.0,January,January:1,,0.67,9.65,Narino,Narino Province
2_125,2,125,1,0,1,1,0.0,0.0,6000.0,6.0,July,July:1,,0.0,0.0,Sulawesi Utara, Minahasa Utara
33_130,33,130,2,0,0,0,0.0,1.0,44930.0,0.0,April,April:1;June:1,,0.39,5.68,Naoasaki,"Nagasaki, Shimabara "
35_136,35,136,1,0,0,0,0.0,0.0,5600.0,0.0,October,October:1,,0.0,0.0,Nara,Miyake-Jima Island
36_139,36,139,2,0,0,1,0.0,0.0,17000.0,0.0,August,August:1;November:1,,0.2,2.89,Tokyo,"Oshima Island, Tookyoo province"
37_140,37,140,1,1,1,1,0.0,63.0,69.0,3.0,September,September:1,,1.16,16.74,Tochigi, Takanemura districts 
38_14,38,14,1,0,0,0,0.0,9.0,24.0,0.0,September,September:1,,0.64,9.27,Sicily,Sicily
38_15,38,15,2,0,0,1,3100.0,0.0,7000.0,0.0,July,July:1;December:1,,2.61,37.68,Sicily,"Nicolosi municipality , Zafferana"
3_-76,3,-76,3,0,2,3,0.0,16.0,25208.0,0.0,April,April:2;November:1,,1.13,16.34,Cauca," Caloto district ,  Inza district ,  Teruel"
3_125,3,125,1,0,0,0,0.0,0.0,17000.0,0.0,September,September:1,,0.0,0.0,Sulawesi Utara,Siau Isl 
3_98,3,98,3,2,3,3,83000.0,33.0,76789.0,42.33,February,February:1;August:1;September:1,0.0,4.72,68.14,Sumatera Utara," Siragong-Grang, Karo district "
43_141,43,141,2,0,0,1,22000.0,3.0,22400.0,6.5,March,March:1;August:1,,3.59,51.74,Hokkaido," Soobetutyoo districts , Sapporo"
43_143,43,143,1,0,0,0,0.0,0.0,0.0,,Unknown,NA,,0.0,0.0,Hokkaido,Tokachidake
47_-120,47,-120,1,0,0,0,860000.0,90.0,2500.0,0.0,May,May:1,,5.36,77.29,Washington,Washington state
4_126,4,126,1,0,0,1,0.0,0.0,16828.0,6.0,June,June:1,,0.0,0.0,Sulawesi Utara, Tabukan Utara sub-districts 
4_127,4,127,2,0,0,0,0.0,90.0,42452.0,0.0,January,January:1;August:1,,1.46,21.04,Sulawesi Utara,"Sangi Talaud, Sangir Talaud Island"
5_-75,5,-75,1,0,0,0,1000000.0,21800.0,12700.0,0.0,November,November:1,,6.93,100.0,Tolima,Armero
5_9,5,9,1,0,0,1,0.0,0.0,3010.0,0.0,April,April:1,,0.0,0.0,Sud-Ouest, Batoke
63_-20,63,-20,1,0,0,0,24700.0,0.0,5200.0,18.0,January,January:1,,3.03,43.77,Sudurland,Heimaey Is.
64_-20,64,-20,1,0,1,1,0.0,0.0,0.0,58.0,March,March:1,,0.0,0.0,Sudurland,Rangarvalla province
6_11,6,11,2,0,0,0,0.0,1783.0,10437.0,0.5,August,August:2,,2.29,33.02,Ouest,"Lake Monoun, Lake Nyos "
