grid_id,lat,lon,count,freq_5yr,freq_10yr,freq_20yr,total_damages,total_deaths,total_affected,avg_duration,top_month,monthly_dist,risk_slope,severity_score,severity_score_normalized,primary_admin1,unique_locations
28_102,28,102,1,0,1,1,0.0,15.0,0.0,0.0,July,July:1,,-0.23,13.34,Sichuan,Long En village 
28_103,28,103,1,1,1,1,0.0,25.0,4.0,0.0,August,August:1,,-0.08,15.67,Sichuan,Puge 
28_105,28,105,1,0,0,0,0.0,79.0,30.0,0.0,July,July:1,,0.26,21.08,Sichuan, Xingwen Level 2 - Level 1 = Sichuan
28_108,28,108,1,1,1,1,0.0,11.0,2.0,0.0,April,April:1,,-0.32,11.95,Guizhou,Sinan area 
28_112,28,112,1,0,0,0,0.0,120.0,0.0,27.0,July,July:1,,0.39,23.07,Hunan,Hunan
28_116,28,116,1,0,0,0,0.0,75.0,0.0,27.0,June,June:1,,0.25,20.83,Jiangxi,Jiangxi
28_120,28,120,2,1,1,1,0.0,42.0,5670.0,0.0,October,October:1;November:1,,0.27,21.25,Zhejiang,"Lindong village , Wenzhou "
28_84,28,84,5,1,2,4,0.0,272.0,88034.0,4.6,June,June:2;August:1;September:1;October:1,0.0,1.18,35.53,West," Kaski,  Nawalparasi area ,  Syangja, Gandaki district "
28_85,28,85,4,0,1,3,0.0,620.0,340865.0,14.5,July,July:2;August:2,0.0,1.34,38.06,Central," Rasuwa area , Kathmandu, Rasuwa area"
28_86,28,86,1,1,1,1,15000.0,156.0,476.0,0.0,August,August:1,,3.35,69.8,Central,Jure
28_87,28,87,1,0,1,1,0.0,10.0,0.0,0.0,July,July:1,,-0.34,11.54,East,Sankhuwasabha area 
28_88,28,88,4,1,1,2,0.0,157.0,24.0,8.0,September,March:1;June:1;September:2,0.0,0.92,31.48,Sikkim,"Sikkim, Taplejung area "
28_96,28,96,1,1,1,1,0.0,36.0,18.0,5.0,June,June:1,,0.03,17.37,Assam, Tinsukia
28_99,28,99,1,0,1,1,0.0,92.0,0.0,0.0,August,August:1,,0.31,21.81,Yunnan,Gongshan Dulong-Nu Zizhixia area
29_103,29,103,2,0,2,2,0.0,52.0,18.0,0.0,July,July:1;August:1,,0.34,22.25,Sichuan,Hanyuan Xian area 
29_108,29,108,2,0,1,2,0.0,146.0,0.0,0.0,May,May:1;June:1,,0.65,27.16,Chongqing,"Wulong Xian area , Wulong Xiang area "
29_120,29,120,1,0,0,0,0.0,37.0,0.0,0.0,October,October:1,,0.03,17.5,Zhejiang,Zhejiang
29_78,29,78,1,0,0,1,0.0,43.0,0.0,27.0,June,June:1,,0.08,18.2,Uttar Pradesh, Bijnor districts 
29_80,29,80,1,0,0,1,0.0,86.0,0.0,0.0,August,August:1,,0.29,21.48,Uttarakhand, Naini Tal districts 
29_81,29,81,1,0,0,1,0.0,144.0,21019.0,27.0,June,June:1,,0.44,23.94,Far-Western, Mahakali district 
29_83,29,83,3,1,2,2,0.0,151.0,18.0,10.0,July,July:2;September:1,0.0,0.8,29.56,West," Myagdi area , Myagi District, Rukum area "
29_84,29,84,1,0,0,0,0.0,21.0,0.0,0.0,September,September:1,,-0.13,14.87,West,Lete
2_-61,2,-61,1,0,0,0,0.0,30.0,0.0,0.0,April,April:1,,-0.03,16.52,Roraima,Roraima
2_-78,2,-78,1,0,0,1,0.0,22.0,400.0,0.0,December,December:1,,-0.12,15.08,Narino,Narino
2_29,2,29,1,1,1,1,0.0,174.0,10.0,0.0,August,August:1,,0.5,24.85,Ituri,Tora 
2_99,2,99,3,0,0,1,0.0,331.0,3000.0,9.0,January,January:1;June:1;December:1,,1.04,33.32,Sumatera Utara,"North Sumatra, South Sumatra, Sumatra"
30_103,30,103,1,0,0,1,0.0,11.0,1000.0,0.0,September,September:1,,-0.32,11.95,Sichuan,Mingshan Xian area 
30_108,30,108,2,0,0,2,0.0,31.0,100.0,0.0,June,June:2,,0.18,19.83,Chongqing,"Gele Shan town, Wansheng Qu area "
30_109,30,109,1,0,0,1,0.0,22.0,0.0,0.0,September,September:1,,-0.12,15.08,Hubei,Xianfeng Xian area 
30_79,30,79,1,1,1,1,0.0,10.0,5.0,0.0,May,May:1,,-0.34,11.54,Uttarakhand,Uttarakhand province
30_80,30,80,1,0,1,1,0.0,45.0,0.0,0.0,August,August:1,,0.09,18.42,Uttarakhand,Pithoragarh district 
30_81,30,81,1,0,0,0,0.0,49.0,0.0,0.0,September,September:1,,0.12,18.82,Far-Western,Bhajang district
