,grid_id,latitude,longitude
737,"(72, 195)",-18.09560316,14.40765263
738,"(72, 195)",-18.27874912,14.89471837
739,"(72, 195)",-18.27964408,14.89457675
740,"(72, 195)",-18.27874912,14.89471837
741,"(72, 198)",-18.59884965,17.00452941
742,"(72, 200)",-18.36868782,19.75014915
743,"(72, 200)",-18.36868782,19.75014915
744,"(72, 200)",-18.36868782,19.75014915
745,"(72, 210)",-18.98017653,29.4658228
746,"(72, 227)",-18.93553593,46.80489527
747,"(72, 227)",-18.93553593,46.80489527
748,"(72, 227)",-18.93553593,46.80489527
749,"(72, 227)",-18.93553593,46.80489527
750,"(72, 227)",-18.58580964,46.14949946
751,"(72, 227)",-18.93553593,46.80489527
752,"(72, 303)",-18.67869406,122.463231
753,"(72, 319)",-18.04325109,138.9483814
754,"(72, 358)",-18.15462213,177.9537289
755,"(72, 359)",-18.11188479,178.4201995
756,"(73, 6)",-17.98245001,-174.4006768
757,"(73, 6)",-17.94298071,-174.4359953
758,"(73, 31)",-17.65767749,-149.4603413
759,"(73, 31)",-17.65767749,-149.4603413
760,"(73, 31)",-17.65767749,-149.4603413
761,"(73, 31)",-17.65767749,-149.4603413
762,"(73, 110)",-17.11319893,-70.30184251
763,"(73, 113)",-17.68585106,-67.70626762
764,"(73, 114)",-17.41777735,-66.16754229
765,"(73, 114)",-17.41777735,-66.16754229
766,"(73, 114)",-17.41777735,-66.16754229
767,"(73, 114)",-17.41777735,-66.16754229
768,"(73, 114)",-17.41777735,-66.16754229
769,"(73, 114)",-17.33837131,-66.35932173
770,"(73, 115)",-17.23216485,-65.6329174
771,"(73, 115)",-17.23216485,-65.6329174
772,"(73, 115)",-17.23216485,-65.6329174
773,"(73, 115)",-17.23099851,-65.63299625
774,"(73, 115)",-17.23216485,-65.6329174
775,"(73, 119)",-17.29361841,-61.46059404
776,"(73, 119)",-17.29422482,-61.46098747
777,"(73, 119)",-17.29361841,-61.46059404
778,"(73, 119)",-17.29422482,-61.46098747
779,"(73, 119)",-17.29422482,-61.46098747
780,"(73, 139)",-17.7143665,-41.38261239
781,"(73, 196)",-17.09348436,15.66575761
782,"(73, 196)",-17.50400549,15.10518932
783,"(73, 197)",-17.58441259,16.8131225
784,"(73, 199)",-17.05695417,18.15474932
785,"(73, 200)",-17.36904301,19.41441566
786,"(73, 200)",-17.36904301,19.41441566
787,"(73, 204)",-17.86324222,23.84288669
788,"(73, 204)",-17.86271233,23.84674619
789,"(73, 204)",-17.86324222,23.84288669
790,"(73, 204)",-17.86324222,23.84288669
791,"(73, 206)",-17.11413504,25.67103722
792,"(73, 210)",-17.18075518,29.70780252
793,"(73, 210)",-17.18075518,29.70780252
794,"(73, 212)",-17.86025401,31.06299376
795,"(73, 216)",-17.78400452,35.00329921
796,"(73, 217)",-17.85806251,36.91355453
797,"(73, 217)",-17.85806251,36.91355453
798,"(73, 217)",-17.85806251,36.91355453
799,"(73, 217)",-17.85806251,36.91355453
800,"(73, 217)",-17.85806251,36.91355453
801,"(73, 218)",-17.48051344,37.07546732
802,"(73, 229)",-17.82287273,48.75108383
803,"(73, 229)",-17.92386355,48.32101142
804,"(73, 229)",-17.92550267,48.44212363
805,"(73, 229)",-17.82287273,48.75108383
806,"(73, 229)",-17.92386355,48.32101142
807,"(73, 229)",-17.92550267,48.44212363
808,"(73, 229)",-17.45254549,48.3137426
809,"(73, 230)",-17.15658287,49.19044476
810,"(73, 230)",-17.15658287,49.19044476
811,"(73, 311)",-17.4220729,130.8040844
812,"(73, 326)",-17.23936495,145.5225348
813,"(73, 326)",-17.95940194,145.925811
814,"(73, 349)",-17.34856179,168.3523809
815,"(73, 349)",-17.34856179,168.3523809
816,"(73, 349)",-17.34856179,168.3523809
817,"(73, 349)",-17.34856179,168.3523809
818,"(73, 349)",-17.7277871,168.3195255
819,"(73, 349)",-17.7277871,168.3195255
820,"(73, 349)",-17.57467234,168.4253365
821,"(73, 349)",-17.7277871,168.3195255
822,"(73, 358)",-17.74281554,177.7665697
823,"(73, 358)",-17.74281554,177.7665697
824,"(73, 358)",-17.74281554,177.7665697
825,"(73, 358)",-17.63508586,177.6614444
826,"(73, 358)",-17.74281554,177.7665697
827,"(73, 358)",-17.74281554,177.7665697
828,"(73, 358)",-17.74281554,177.7665697
829,"(73, 358)",-17.74281554,177.7665697
830,"(73, 358)",-17.74220393,177.764625
831,"(73, 358)",-17.63508586,177.6614444
832,"(73, 358)",-17.74281554,177.7665697
833,"(73, 358)",-17.63508586,177.6614444
834,"(73, 358)",-17.74281554,177.7665697
835,"(73, 358)",-17.63508586,177.6614444
836,"(73, 358)",-17.74281554,177.7665697
837,"(73, 358)",-17.74281554,177.7665697
838,"(73, 358)",-17.63508586,177.6614444
839,"(73, 358)",-17.74281554,177.7665697
840,"(73, 358)",-17.63508586,177.6614444
841,"(73, 358)",-17.74220393,177.764625
842,"(73, 359)",-17.86752473,178.2330846
843,"(74, 29)",-16.69669093,-151.5597912
844,"(74, 29)",-16.69669093,-151.5597912
845,"(74, 109)",-16.82547788,-71.29444204
846,"(74, 110)",-16.86027059,-70.83904631
847,"(74, 110)",-16.86027059,-70.83904631
848,"(74, 110)",-16.45862029,-70.83151824
849,"(74, 110)",-16.86027059,-70.83904631
850,"(74, 111)",-16.72621676,-69.75597864
851,"(74, 113)",-16.38631704,-67.97263779
852,"(74, 115)",-16.7129566,-65.63570385
853,"(74, 115)",-16.7129566,-65.63570385
854,"(74, 131)",-16.04474817,-49.62389452
855,"(74, 196)",-16.53153266,15.77398677
856,"(74, 196)",-16.53153266,15.77398677
857,"(74, 196)",-16.50351286,15.57852043
858,"(74, 200)",-16.11855256,19.51596434
859,"(74, 200)",-16.11855256,19.51596434
860,"(74, 208)",-16.62687907,27.8665415
861,"(74, 208)",-16.62687907,27.8665415
862,"(74, 211)",-16.33415923,30.56891504
863,"(74, 211)",-16.33397701,30.56930665
864,"(74, 211)",-16.33397701,30.56930665
865,"(74, 212)",-16.70151538,31.18922011
866,"(74, 215)",-16.16657424,34.70983653
867,"(74, 215)",-16.16657424,34.70983653
868,"(74, 215)",-16.16437396,34.70894576
869,"(74, 215)",-16.16657424,34.70983653
870,"(74, 215)",-16.16657424,34.70983653
871,"(74, 215)",-16.16657424,34.70983653
872,"(74, 215)",-16.16657424,34.70983653
873,"(74, 216)",-16.0128862,35.99031875
